id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
safe,0.522657,302949215,-14.40269,0.619902,0.51999,3.56,0.356678,30-04-2025__17h37m25s
pudgy-penguins,0.01063595,666247780,-13.10805,0.01224043,0.01055936,0.068447,0.00371517,30-04-2025__17h37m25s
virtual-protocol,1.32,854214872,-10.0273,1.49,1.28,5.07,0.00748604,30-04-2025__17h37m25s
ai16z,0.28057,305735659,-7.05549,0.313302,0.267807,2.47,0.010189,30-04-2025__17h37m25s
deep,0.194056,485971679,-6.9674,0.213463,0.192315,0.341085,0.01073218,30-04-2025__17h37m25s
mocaverse,0.090566,241135116,-5.76865,0.096111,0.089083,0.477373,0.060926,30-04-2025__17h37m25s
walrus-2,0.564762,705833597,-5.60822,0.598317,0.554968,0.68517,0.360808,30-04-2025__17h37m25s
kaspa,0.089676,2342140987,-5.54541,0.095044,0.086742,0.207411,0.00017105,30-04-2025__17h37m25s
official-trump,13.08,2606110055,-5.18468,13.82,12.79,73.43,4.29,30-04-2025__17h37m25s
berachain-bera,3.63,396647895,-5.0572,3.83,3.6,14.83,3.23,30-04-2025__17h37m25s
