id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
akash-network,1.53,371920010,14.75198,1.55,1.28,8.07,0.164994,30-04-2025__17h37m25s
plume,0.192339,384101600,12.68265,0.192516,0.168767,0.247537,0.084391,30-04-2025__17h37m25s
floki,9.237e-05,898528889,10.14838,9.377e-05,8.246e-05,0.00034495,8.428e-08,30-04-2025__17h37m25s
axelar,0.393293,369582943,7.18256,0.410281,0.36434,2.64,0.274681,30-04-2025__17h37m25s
mimblewimblecoin,31.62,347085780,6.19638,31.94,29.56,38.81,0.298733,30-04-2025__17h37m25s
cheems-token,1.45e-06,294798297,3.90375,1.45e-06,1.37e-06,2.16e-06,5.725e-09,30-04-2025__17h37m25s
beam-2,0.00740063,386811825,3.58897,0.00738588,0.00698213,0.04416304,0.0043383,30-04-2025__17h37m25s
aethir,0.031249,264650189,3.43901,0.03189446,0.02961046,0.118536,0.02439678,30-04-2025__17h37m25s
amp-token,0.00420324,354254191,3.30597,0.00423794,0.00404873,0.120813,0.00140933,30-04-2025__17h37m25s
fartcoin,1.16,1161045962,3.00961,1.16,1.092,2.48,0.02002855,30-04-2025__17h37m25s
